ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
AUDCHF.FXCM,20250403,0.54292,0.51871,0.54388,0.51359,0.54447,0.5209,0.54447,0.51398,473963
QCOM.US,20250403,139.34,127.34,139.34,126.41,139.56,127.57,139.56,126.91,69853
MGM.US,20250403,27.81,26.76,27.81,25.53,27.93,26.89,27.93,25.7,18366
LVS.US,20250403,36.4,33.33,36.4,32.7,36.53,33.46,36.53,32.89,16688
VOLX,20250403,26.17,32.75,33.33,25.76,26.17,32.82,33.42,25.79,207719
AIRLINES,20250403,2030.03,1934.41,2030.03,1795.82,2031.03,1935.41,2031.03,1797.45,89014
HLT.US,20250403,217.49,207.87,217.49,206.88,217.72,209.97,217.72,207.62,10614
AAPL.US,20250403,203.02,188.34,203.02,187.21,203.25,188.57,203.25,187.49,130962
URANIUM,20250403,2573.7,2384.55,2573.7,2310.87,2574.7,2408.51,2574.7,2318.63,24109
HSBA.UK,20250403,804.05,755.54,804.05,734.14,809.75,761.24,809.75,739.45,91607
MC.FR,20250403,541.99,532.94,546.93,520.63,543.92,534.87,549.06,522.67,106540
EURIBOR3M,20250403,97.87,97.905,97.942,97.87,97.885,97.92,97.956,97.885,11655
TW.UK,20250403,108.25,103.58,110.2,103.35,109.05,105.28,111.05,104.19,11884
BUND,20250403,129.766,130.362,131.452,129.766,129.802,130.398,131.508,129.802,74943
EURCAD.FXCM,20250403,1.55669,1.55867,1.57393,1.55244,1.55867,1.56084,1.57429,1.55277,835322
RBLX.US,20250403,58.07,52.93,58.07,51.18,58.21,53.06,58.21,51.33,13534
USOILSPOT,20250403,66.331,62.282,66.568,60.223,66.361,62.312,66.608,60.263,274147
CCJ.US,20250403,40.81,37.8,40.81,36.34,40.94,37.93,40.94,36.56,21358
SIE.DE,20250403,196.88,185.07,196.88,179.74,197.51,185.7,197.51,180.46,152735
F.US,20250403,9.48,9.52,9.67,9.13,9.61,9.65,9.8,9.26,6489
TKWY.NL,20250403,19.299,19.034,19.31,18.815,19.424,19.164,19.56,18.95,5770
BABA.US,20250403,129.27,116.37,129.27,111.14,129.49,116.6,129.49,111.46,47312
SAP.DE,20250403,238.35,232.43,239.98,227.7,239.08,233.16,240.75,228.47,30132
USDTRY.FXCM,20250403,37.87299,37.93059,38.0131,37.87299,37.97345,38.06145,38.1297,37.97345,44269
ENR.DE,20250403,53.04,49.47,53.04,47.93,53.17,49.6,53.18,48.08,98937
USOIL,20250403,66.614,62.496,66.875,60.434,66.644,62.526,66.915,60.474,198288
NFLX.US,20250403,915.22,854.56,915.22,853.02,916.67,855.3,916.67,854.35,11474
VOD.UK,20250403,71.09,66.14,71.47,66.14,71.61,67.64,74.8,67.16,18993
CON.DE,20250403,61.86,60.13,61.93,57.41,62.12,60.43,63.9,58.02,33029
STLA.FR,20250403,9.35,8.86,9.35,8.37,9.48,9.0,9.48,8.52,84909
CHN50,20250403,13153.58,12652.25,13171.26,12198.27,13164.58,12658.25,13182.26,12209.27,108414
CHN.ECOMM,20250403,4504.72,4116.68,4504.72,3959.78,4505.72,4117.68,4505.72,3966.72,125344
GOOG.US,20250403,152.58,147.64,152.99,147.47,152.7,147.76,153.17,147.62,164444
EURHUF.FXCM,20250403,402.133,405.56,407.005,401.454,404.217,407.897,408.049,403.193,851915
US30,20250403,40435.23,38221.08,40499.43,38055.44,40436.73,38222.58,40504.23,38059.22,1540607
MT.NL,20250403,24.659,22.66,24.659,21.879,24.799,22.79,24.799,22.019,43707
IFX.DE,20250403,27.97,26.08,27.97,24.93,28.1,26.21,28.1,25.19,95811
NIO.US,20250403,3.69,3.4,3.69,3.13,3.82,3.53,3.82,3.27,1428
TWLO.US,20250403,89.39,83.41,89.39,80.26,89.52,83.54,89.52,80.63,7768
CORNF,20250403,457.81,460.04,461.81,448.81,458.97,461.2,462.97,449.97,9135
SU.FR,20250403,201.85,189.05,201.85,184.9,202.48,189.68,202.48,185.56,150411
US2000,20250403,1906.91,1820.63,1915.79,1780.27,1907.21,1820.93,1916.29,1780.77,849342
EURUSD.FXCM,20250403,1.1051,1.09622,1.11071,1.09233,1.10531,1.09659,1.11084,1.09248,840008
JPM.US,20250403,228.54,210.06,228.54,208.68,228.97,210.48,228.97,209.2,34670
UK100,20250403,8477.14,7998.11,8485.37,7979.4,8478.74,7999.71,8488.65,7981.9,255165
USDHUF.FXCM,20250403,363.928,370.452,372.232,362.724,365.705,372.249,372.776,363.383,1315170
CBA.AU,20250403,155.79,153.79,155.97,152.91,156.24,154.22,156.43,153.75,41963
BRKB.US,20250403,530.18,493.33,530.18,492.55,530.9,494.06,530.9,493.35,41592
