trade_date,ts_code,up_limit,down_limit
20250403,000890.SZ,3.6,2.94
20250403,000892.SZ,3.93,3.21
20250403,000893.SZ,27.5,22.5
20250403,000895.SZ,29.77,24.35
20250403,000897.SZ,2.53,2.07
20250403,000898.SZ,2.66,2.18
20250403,000899.SZ,9.93,8.13
20250403,000900.SZ,4.62,3.78
20250403,000901.SZ,12.23,10.01
20250403,000902.SZ,14.04,11.48
20250403,000903.SZ,3.75,3.07
20250403,000905.SZ,8.9,7.28
20250403,000906.SZ,6.71,5.49
20250403,000908.SZ,4.7,4.26
20250403,000909.SZ,5.85,5.29
20250403,000910.SZ,8.72,7.14
20250403,000911.SZ,8.04,6.58
20250403,000912.SZ,5.17,4.23
20250403,000913.SZ,19.66,16.08
20250403,000915.SZ,31.8,26.02
20250403,000917.SZ,8.77,7.17
20250403,000919.SZ,7.46,6.1
20250403,000920.SZ,10.27,8.41
20250403,000921.SZ,32.1,26.26
20250403,000922.SZ,12.66,10.36
20250403,000923.SZ,17.26,14.12
20250403,000925.SZ,8.89,7.27
20250403,000926.SZ,2.55,2.09
20250403,000927.SZ,2.77,2.27
20250403,000928.SZ,7.14,5.84
20250403,000929.SZ,7.44,6.08
20250403,000930.SZ,6.04,4.94
20250403,000931.SZ,5.43,4.45
20250403,000932.SZ,5.59,4.57
20250403,000933.SZ,20.44,16.72
20250403,000935.SZ,17.62,14.42
20250403,000936.SZ,7.85,6.43
20250403,000937.SZ,6.56,5.36
20250403,000938.SZ,30.69,25.11
20250403,000948.SZ,19.38,15.86
20250403,000949.SZ,4.71,3.85
20250403,000950.SZ,5.63,4.61
20250403,000951.SZ,22.17,18.14
20250403,000952.SZ,6.19,5.07
20250403,000953.SZ,6.9,5.64
20250403,000955.SZ,4.53,3.71
20250403,000957.SZ,12.5,10.22
20250403,000958.SZ,8.12,6.64
20250403,000959.SZ,3.66,3.0
20250403,000960.SZ,17.6,14.4
20250403,000962.SZ,17.82,14.58
20250403,000963.SZ,42.61,34.87
20250403,000965.SZ,3.29,2.69
20250403,000966.SZ,5.18,4.24
20250403,000967.SZ,6.5,5.32
20250403,000968.SZ,7.18,5.88
20250403,000969.SZ,14.87,12.17
20250403,000970.SZ,14.15,11.57
20250403,000972.SZ,3.18,2.88
20250403,000973.SZ,7.44,6.08
20250403,000975.SZ,20.3,16.61
20250403,000977.SZ,58.39,47.77
20250403,000978.SZ,7.08,5.8
20250403,000980.SZ,2.45,2.01
20250403,000981.SZ,2.22,1.82
20250403,000983.SZ,7.74,6.34
20250403,000985.SZ,18.94,15.5
20250403,000987.SZ,7.13,5.83
20250403,000988.SZ,46.0,37.64
20250403,000989.SZ,8.72,7.89
20250403,000990.SZ,8.26,6.76
20250403,000993.SZ,10.03,8.21
20250403,000995.SZ,14.27,11.67
20250403,000997.SZ,31.91,26.11
20250403,000998.SZ,11.13,9.11
20250403,000999.SZ,47.88,39.18
20250403,001201.SZ,16.26,13.3
20250403,001202.SZ,17.4,14.24
20250403,001203.SZ,9.66,7.9
20250403,001205.SZ,20.24,16.56
20250403,001206.SZ,21.55,17.63
20250403,001207.SZ,23.95,19.59
20250403,001208.SZ,11.96,9.78
20250403,001209.SZ,18.08,14.8
20250403,001210.SZ,16.14,13.2
20250403,001211.SZ,24.16,19.76
20250403,001212.SZ,38.96,31.88
20250403,001213.SZ,4.46,3.65
20250403,001215.SZ,30.66,25.08
20250403,001216.SZ,15.29,12.51
20250403,001217.SZ,13.49,11.03
20250403,001218.SZ,18.59,15.21
20250403,001219.SZ,14.47,11.84
20250403,001222.SZ,17.4,14.24
20250403,001223.SZ,60.73,49.69
20250403,001225.SZ,36.14,29.57
20250403,001226.SZ,30.26,24.76
20250403,001227.SZ,2.59,2.12
20250403,001228.SZ,23.78,19.46
20250403,001229.SZ,35.99,29.45
20250403,001230.SZ,21.74,17.78
20250403,001231.SZ,19.14,15.66
20250403,001234.SZ,20.42,16.7
20250403,001236.SZ,11.19,9.15
20250403,001238.SZ,34.62,28.32
20250403,001239.SZ,16.57,13.55
20250403,001255.SZ,30.14,24.66
20250403,001256.SZ,31.9,26.1
20250403,001258.SZ,8.49,6.95
20250403,001259.SZ,24.29,19.87
20250403,001260.SZ,19.12,15.64
20250403,001266.SZ,26.37,21.57
20250403,001267.SZ,10.26,8.4
20250403,001268.SZ,23.86,19.52
20250403,001269.SZ,28.24,23.1
20250403,001270.SZ,32.82,26.86
20250403,001277.SZ,40.37,33.03
20250403,001278.SZ,18.49,15.13
20250403,001279.SZ,43.14,35.3
20250403,001282.SZ,30.27,24.77
20250403,001283.SZ,61.51,50.33
20250403,001286.SZ,10.29,8.42
20250403,001287.SZ,20.12,16.46
20250403,001288.SZ,33.24,27.2
20250403,001289.SZ,18.18,14.88
20250403,001296.SZ,19.43,15.89
20250403,001298.SZ,28.71,23.49
20250403,001299.SZ,15.81,12.93
20250403,001300.SZ,13.17,10.77
20250403,001301.SZ,65.32,53.44
20250403,001306.SZ,85.68,70.1
20250403,001308.SZ,25.14,20.57
20250403,001309.SZ,142.33,116.45
20250403,001311.SZ,31.46,25.74
20250403,001313.SZ,9.71,7.95
20250403,001314.SZ,52.77,43.17
20250403,001316.SZ,34.88,28.54
20250403,001317.SZ,37.05,30.31
20250403,001318.SZ,14.43,11.81
20250403,001319.SZ,29.49,24.13
20250403,001322.SZ,9.0,7.36
20250403,001323.SZ,35.75,29.25
20250403,001324.SZ,20.15,16.49
20250403,001326.SZ,36.2,29.62
20250403,001328.SZ,47.4,38.78
20250403,001330.SZ,4.98,4.08
20250403,001331.SZ,14.1,11.54
20250403,001332.SZ,45.32,37.08
