ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20230214,3293.2825,3288.9742,3293.7338,3279.1894,3284.1599,9.1226,0.2778,270974168.0,355558052.4
000001.SH,20230213,3284.1599,3256.9881,3285.0913,3252.6327,3260.6734,23.4865,0.7203,297213188.0,397011413.4
000001.SH,20230210,3260.6734,3266.4367,3269.9944,3247.2296,3270.3826,-9.7092,-0.2969,260626926.0,341749872.0
000001.SH,20230209,3270.3826,3227.7278,3270.3826,3225.7724,3232.1063,38.2763,1.1843,254754529.0,351760831.7
000001.SH,20230208,3232.1063,3251.5006,3257.114,3230.4393,3248.094,-15.9877,-0.4922,234530481.0,293332736.1
000001.SH,20230207,3248.094,3245.2297,3250.033,3233.8334,3238.6978,9.3962,0.2901,250946450.0,321257641.9
000001.SH,20230206,3238.6978,3244.7007,3250.3514,3226.2112,3263.4059,-24.7081,-0.7571,267053107.0,349127264.9
000001.SH,20230203,3263.4059,3275.6578,3275.6578,3235.3533,3285.6705,-22.2646,-0.6776,293342814.0,378648523.0
000001.SH,20230202,3285.6705,3291.7828,3295.7636,3272.414,3284.9213,0.7492,0.0228,333413133.0,428662803.4
000001.SH,20230201,3284.9213,3262.1961,3284.9224,3245.4113,3255.6692,29.2521,0.8985,339509410.0,413395187.7
000001.SH,20230131,3255.6692,3266.1442,3277.2524,3252.0145,3269.318,-13.6488,-0.4175,300162957.0,375260749.6
000001.SH,20230130,3269.318,3308.8694,3310.4903,3266.758,3264.8138,4.5042,0.138,353325829.0,453177014.1
000001.SH,20230120,3264.8138,3247.2031,3267.0579,3247.2031,3240.2794,24.5344,0.7572,273219182.0,329028168.4
000001.SH,20230119,3240.2794,3221.5179,3240.2794,3210.3825,3224.406,15.8734,0.4923,226465030.0,296815557.3
000001.SH,20230118,3224.406,3227.5947,3234.8169,3220.3703,3224.2448,0.1612,0.005,212109730.0,266068176.7
000001.SH,20230117,3224.2448,3229.4354,3231.2645,3211.7573,3227.5916,-3.3468,-0.1037,226592230.0,302611778.5
000001.SH,20230116,3227.5916,3198.5189,3251.3739,3197.3186,3195.3059,32.2857,1.0104,306749549.0,413219641.0
000001.SH,20230113,3195.3059,3170.3548,3195.3067,3167.5098,3163.4509,31.855,1.007,220226897.0,288062499.1
000001.SH,20230112,3163.4509,3167.273,3171.5905,3153.4038,3161.8376,1.6133,0.051,216671305.0,275371843.3
000001.SH,20230111,3161.8376,3172.3759,3184.757,3160.8896,3169.5072,-7.6696,-0.242,237742869.0,309248892.9
000001.SH,20230110,3169.5072,3178.022,3178.1569,3165.1446,3176.0845,-6.5773,-0.2071,232984175.0,310357698.6
000001.SH,20230109,3176.0845,3169.3737,3183.583,3165.4282,3157.6365,18.448,0.5842,258115218.0,342693771.0
000001.SH,20230106,3157.6365,3155.0747,3170.7418,3151.8407,3155.2162,2.4203,0.0767,257380255.0,338539843.7
000001.SH,20230105,3155.2162,3132.7614,3159.427,3130.23,3123.5164,31.6998,1.0149,257003018.0,335635934.5
000001.SH,20230104,3123.5164,3117.5711,3129.0937,3109.4512,3116.5119,7.0045,0.2248,273313626.0,316391228.7
000001.SH,20230103,3116.5119,3087.513,3119.8556,3073.054,3089.2579,27.254,0.8822,281370362.0,331392138.9
